,filename,start_time,end_time,edge,meterID,processing_time,average_power_consumption,missing_data,raw_volume,lines_of_code,tool_changes,travels_to_zero_point_in_rapid_traverse,axes_rotation,weighted_rotational_speed,weighted_tool_diameter,weighted_cutting_length,weighted_number_of_cutting_edges,weighted_cutting_speed,weighted_feed_per_tooth,weighted_feed_rate
68,2584165-1SP-SP-Delfine.h,1654073150,1654078200,1237,2,5050,3688.3486894360603,7.0,13665960.0,27591,18,263,132,7779.717345018284,15.515189873417722,39.727663124297266,4.029052265061115,379.229335171013,0.10883693397045434,3225.970492838984
69,2584165-1SP-SP-Delfine.h,1654078800,1654084000,1237,2,5200,3668.6220123361604,6.0,13665960.0,27591,18,263,132,7779.717345018284,15.515189873417722,39.727663124297266,4.029052265061115,379.229335171013,0.10883693397045434,3225.970492838984
70,2584165-1SP-SP-Delfine.h,1654084100,1654089300,1237,2,5200,3662.8747104247104,10.0,13665960.0,27591,18,263,132,7779.717345018284,15.515189873417722,39.727663124297266,4.029052265061115,379.229335171013,0.10883693397045434,3225.970492838984
71,2584165-1SP-SP-Delfine.h,1655101000,1655107920,1237,2,6920,3293.7245787332945,18.0,13665960.0,27591,18,263,132,7779.717345018284,15.515189873417722,39.727663124297266,4.029052265061115,379.229335171013,0.10883693397045434,3225.970492838984
72,2584165-1SP-SP-Delfine.h,1655108450,1655113700,1237,2,5250,3565.5772762050497,11.0,13665960.0,27591,18,263,132,7779.717345018284,15.515189873417722,39.727663124297266,4.029052265061115,379.229335171013,0.10883693397045434,3225.970492838984
73,2584165-1SP-SP-Delfine.h,1655114800,1655120000,1237,2,5200,3593.73197069032,7.0,13665960.0,27591,18,263,132,7779.717345018284,15.515189873417722,39.727663124297266,4.029052265061115,379.229335171013,0.10883693397045434,3225.970492838984
74,2584165-1SP-SP-Delfine.h,1655120600,1655126100,1237,2,5500,3518.831446311176,12.0,13665960.0,27591,18,263,132,7779.717345018284,15.515189873417722,39.727663124297266,4.029052265061115,379.229335171013,0.10883693397045434,3225.970492838984
75,2584165-1SP-SP-Delfine.h,1655189200,1655194300,1237,2,5100,3610.986811023622,10.0,13665960.0,27591,18,263,132,7779.717345018284,15.515189873417722,39.727663124297266,4.029052265061115,379.229335171013,0.10883693397045434,3225.970492838984
76,2584165-1SP-SP-Delfine.h,1655195100,1655200350,1237,2,5250,3774.2375192012287,21.0,13665960.0,27591,18,263,132,7779.717345018284,15.515189873417722,39.727663124297266,4.029052265061115,379.229335171013,0.10883693397045434,3225.970492838984
77,2584165-1SP-Delfine.h,1655200650,1655206050,1237,2,5400,3737.794194268701,13.0,13665960.0,26918,18,263,132,7774.267427514374,15.503059707041416,39.6207673432969,4.02977916573723,378.6596029444568,0.10986702009440837,3252.5244003373573
78,2584165-1SP-Delfine.h,1655206300,1655211350,1237,2,5050,3902.9745526838965,10.0,13665960.0,26918,18,263,132,7774.267427514374,15.503059707041416,39.6207673432969,4.02977916573723,378.6596029444568,0.10986702009440837,3252.5244003373573
79,2584165-2SP-SP-Delfine.h,1655279700,1655281100,1237,2,1400,3216.0172910662823,6.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
80,2584165-2SP-SP-Delfine.h,1655281300,1655282500,1237,2,1200,3348.7005033557048,4.0,13665960.0,13447,4,81,41,7993.447472072159,15.783421464213898,42.108438221494005,4.06226260519848,396.40433454978773,0.0966211523949386,3115.166406073805
